Rk,Player,ID,Tm,1718,1819,1920,2021,2122,2223,Signed Using,Guaranteed,Year,Cap,Conversion1718
376,Bobby Portis,portibo01,CHI,1516320,2494346,,,,,1st Round pick,4010666,2015,7000,1875714
377,Malachi Richardson,richama01,TOR,1504560,1569360,2581597,,,,1st Round pick,3073920,2016,9414,1494627
378,Arron Afflalo,afflaar01,SAC,1500000,,,,,,,1500000,2017,9909,1528913
379,Norman Powell,powelno01,TOR,1471382,9367200,10116576,10865952,11615328,,Cap Space,31821110,2017,9909,1499743
380,Josh Richardson,richajo01,MIA,1471382,9300000,10100000,10800000,11600000,,Minimum Salary,31671382,2017,9909,1499743
381,Rondae Hollis-Jefferson,holliro01,BRK,1471382,2470357,,,,,1st Round pick,3941739,2015,7000,1820125
382,Tyus Jones,jonesty01,MIN,1471382,2444053,,,,,1st Round pick,3915435,2015,7000,1820125
383,Jarell Martin,martija01,MEM,1471382,2416222,,,,,1st Round pick,3887604,2015,7000,1820125
384,Larry Nance,nancela02,CLE,1471382,2272391,,,,,1st Round pick,3743773,2015,7000,1820125
385,Troy Williams,willitr02,HOU,1471382,1544951,1676735,,,,,2085087,2017,9909,1499743
386,Chris McCullough,mcculch01,WAS,1471382,,,,,,1st Round pick,1471382,2015,7000,1820125
387,Raul Neto,netora01,UTA,1471382,,,,,,,1471382,2015,7000,1820125
388,Pat Connaughton,connapa01,POR,1471382,,,,,,Minimum Salary,1471382,2015,7000,1820125
389,Richaun Holmes,holmeri01,PHI,1471382,1600520,,,,,Cap Space,1471382,2015,7000,1820125
390,T.J. McConnell,mccontj01,PHI,1471382,1600520,,,,,Minimum Salary,1471382,2015,7000,1820125
391,Josh Huestis,huestjo01,OKC,1471382,,,,,,,1471382,2015,7000,1820125
392,Jordan Mickey,mickejo01,MIA,1471382,1600520,,,,,Minimum Salary,1471382,2017,9909,1499743
393,Montrezl Harrell,harremo01,LAC,1471382,,,,,,,1471382,2015,7000,1820125
394,Joe Young,youngjo01,IND,1471382,1600520,,,,,Cap Space,1471382,2015,7000,1820125
395,Kevon Looney,looneke01,GSW,1471382,,,,,,1st Round pick,1471382,2015,7000,1820125
396,Nikola Jokic,jokicni01,DEN,1471382,1600520,,,,,,1471382,2015,7000,1820125
397,Salah Mejri,mejrisa01,DAL,1471382,,,,,,Minimum Salary,1471382,2015,7000,1820125
398,Caleb Swanigan,swanica01,POR,1465920,1740000,2033160,3665787,,,1st Round Pick,3205920,2017,9909,1494176
399,Furkan Korkmaz,korkmfu01,PHI,1465920,1740000,2033160,3665787,,,1st Round Pick,3205920,2017,9909,1494176
400,Willy Hernangomez,hernawi01,CHO,1435750,1544951,1701735,,,,Cap Space,2980701,2016,9414,1426271
401,Kyle Kuzma,kuzmaky01,LAL,1423560,1689840,1974600,3562178,,,1st Round Pick,3113400,2017,9909,1450999
402,Tony Bradley,bradlto01,UTA,1414920,1679520,1962360,3542060,,,1st Round Pick,3094440,2017,9909,1442193
403,Derrick White,whitede01,SAS,1404600,1667160,1948080,3516284,,,1st Round Pick,3071760,2017,9909,1431674
